NOM_WILAYA,WILAYA,Nouveaux cas,Décés,Récupéré,Confirmés,Hospitalisés,Femelle,Male,Moin de 1 ans,1-14 ans,15-24 ans,25-49 ans,50-59 ans,sup 60 ans,NP,Date 
ADRAR,1,0,0,0,3,3,0,2,0,0,1,1,0,0,0,03/04/2020
CHLEF,2,5,0,0,15,15,0,1,0,0,0,0,0,1,0,03/04/2020
LAGHOUAT,3,0,0,0,1,1,0,1,0,0,0,0,1,0,0,03/04/2020
OUM EL BOUAGHI,4,2,2,0,6,4,2,0,0,0,0,1,0,1,0,03/04/2020
BAT0,5,0,1,0,12,11,4,3,0,0,0,0,2,1,2,03/04/2020
BEJAIA,6,10,2,1,47,44,2,3,0,0,0,2,1,1,0,03/04/2020
BISKRA,7,4,1,2,6,3,0,1,0,0,0,0,0,1,0,03/04/2020
BECHAR,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,03/04/2020
BLIDA,9,47,25,32,432,375,180,205,0,7,11,135,74,142,16,03/04/2020
BOUIRA,10,1,0,0,10,10,2,1,0,0,0,0,2,1,0,03/04/2020
TAMENGHASSET,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
TEBESSA,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,03/04/2020
TLEMCEN,13,15,0,0,31,31,2,5,0,0,0,1,2,2,1,03/04/2020
TIARET,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,03/04/2020
TIZI OUZOU,15,0,5,2,39,32,16,24,0,0,2,13,3,21,0,03/04/2020
ALGER,16,29,26,11,183,146,61,93,0,1,0,51,37,59,6,03/04/2020
DJELFA,17,1,1,0,8,7,1,0,0,0,0,0,0,1,0,03/04/2020
JIJEL,18,4,0,0,15,15,1,1,0,0,0,0,1,1,0,03/04/2020
SETIF,19,18,7,2,43,34,3,4,0,0,1,1,2,1,0,03/04/2020
SAIDA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
SKIKDA,21,4,0,3,17,14,3,3,0,0,0,1,1,1,1,03/04/2020
SIDI BEL ABBES,22,1,0,0,10,10,1,1,0,0,0,0,1,1,0,03/04/2020
AN0BA,23,1,0,3,8,5,2,4,0,0,1,0,1,1,1,03/04/2020
GUELMA,24,0,0,0,3,2,1,1,0,0,0,0,0,1,0,03/04/2020
CONSTANTINE,25,1,3,0,12,9,2,1,0,0,0,0,0,2,1,03/04/2020
MEDEA,26,0,7,1,22,14,2,3,0,0,0,1,1,1,1,03/04/2020
MOSTAGANEM,27,1,1,0,21,20,2,1,0,0,0,1,1,0,0,03/04/2020
M'SILA,28,1,1,0,2,1,0,0,0,0,0,0,0,0,0,03/04/2020
MASCARA,29,5,0,2,15,13,2,1,0,0,0,0,1,1,0,03/04/2020
OUARGLA,30,0,0,1,2,1,0,0,0,0,0,0,0,0,0,03/04/2020
ORAN,31,2,3,0,64,61,22,40,0,0,7,24,12,17,2,03/04/2020
EL BAYADH,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
ILLIZI,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,03/04/2020
BORDJ BOU ARRERIDJ,34,9,3,0,21,18,2,4,0,0,1,2,0,2,0,03/04/2020
BOUMERDES,35,3,2,1,14,11,2,2,0,0,1,1,0,1,1,03/04/2020
EL-TARF,36,0,0,0,4,4,0,2,0,0,0,0,1,1,0,03/04/2020
TINDOUF,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
TISSEMSILT,38,0,0,1,2,1,0,1,0,0,0,0,1,0,0,03/04/2020
EL OUED,39,0,3,0,16,13,2,3,0,0,0,0,2,1,1,03/04/2020
KHENCHELA,40,0,1,0,2,1,0,2,0,0,0,0,0,1,1,03/04/2020
SOUK-AHRAS,41,2,0,0,6,6,1,1,0,0,0,1,0,1,0,03/04/2020
TIPAZA,42,5,3,0,32,29,3,6,0,0,1,2,2,2,1,03/04/2020
MILA,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
AIN DEFLA,44,8,3,0,28,25,0,2,0,0,0,0,1,0,0,03/04/2020
0AMA,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020
AIN-TEMOUCHENT,46,2,1,0,6,5,0,1,0,0,0,0,0,1,0,03/04/2020
GHARDAIA,47,0,1,0,2,1,0,1,0,0,0,0,1,0,0,03/04/2020
RELIZANE,48,2,1,0,7,6,0,1,0,0,0,0,1,0,0,03/04/2020
Total,,185,105,62,1171,1003,321,425,0,8,26,238,152,268,35,03/04/2020
